lon,lat,mag,time_string,depth,catalog_id,event_id
-117.6916667,35.9323333,4.15,2019-07-06T05:58:17.570000,1.86,,ci38458655
-117.574,35.7376667,3.57,2019-07-06T05:59:44.190000,3.12,,ci38458663
-117.3465,35.5535,3.5,2019-07-06T06:00:57.770000,4.31,,ci38458671
-117.7385,35.911,4.63,2019-07-06T06:01:51.800000,4.99,,ci38458679
-117.3635,35.5771667,3.53,2019-07-06T06:07:08.680000,3.81,,ci38458719
-117.3751667,35.5813333,4.27,2019-07-06T06:12:52,5.45,,ci38458759
-117.684,35.9191667,3.55,2019-07-06T06:18:11.250000,8.98,,ci38458815
-117.6868333,35.8785,3.72,2019-07-06T06:31:00.730000,4.3,,ci38458951
-117.7226667,35.8893333,3.55,2019-07-06T06:31:55.320000,4.65,,ci38458967
-117.7248333,35.8926667,4.05,2019-07-06T06:34:47.410000,8.17,,ci38458999
-117.6378333,35.8041667,3.9,2019-07-06T06:41:15.060000,7.51,,ci38459047
-117.6466667,35.8661667,3.57,2019-07-06T06:47:10.840000,6.77,,ci38459135
-117.3983333,35.5601667,3.77,2019-07-06T06:52:25.970000,3.76,,ci38459207
-117.7315,35.89,3.88,2019-07-06T07:04:42.040000,4.8,,ci38459327
-117.7306667,35.8891667,3.56,2019-07-06T07:05:21.030000,5.96,,ci38459335
-117.748,35.9243333,3.75,2019-07-06T07:16:03.150000,2.33,,ci37233156
-117.505,35.7043333,3.62,2019-07-06T07:31:14.490000,2.01,,ci38459599
-117.729,35.8848333,3.73,2019-07-06T07:52:24.520000,5.54,,ci38459863
-117.5576667,35.7051667,3.87,2019-07-06T07:54:46.580000,8.49,,ci38459887
-117.475,35.6746667,3.55,2019-07-06T07:56:03.660000,2.0,,ci38459895
-117.7191667,35.9135,3.62,2019-07-06T08:10:50.100000,2.67,,ci38460039
-117.7306667,35.8965,3.53,2019-07-06T08:26:52.560000,4.98,,ci37264140
-117.4105,35.6318333,3.59,2019-07-06T08:28:33.770000,3.15,,ci38460255
-117.4913333,35.639,4.56,2019-07-06T08:32:57.550000,3.14,,ci38460311
-117.3878333,35.6021667,3.6,2019-07-06T08:59:55.720000,6.72,,ci38460631
-117.3855,35.5498333,3.96,2019-07-06T08:59:57.510000,3.71,,ci38460639
-117.641,35.8015,3.59,2019-07-06T09:24:23.070000,1.2,,ci38460927
-117.5836667,35.6183333,3.51,2019-07-06T09:27:08.460000,10.78,,ci38460951
-117.7271667,35.898,4.89,2019-07-06T09:28:28.980000,3.95,,ci38460967
-117.7168333,35.887,4.24,2019-07-06T09:28:41.790000,4.78,,ci37258076
-117.7175,35.8811667,4.41,2019-07-06T09:29:20.970000,5.5,,ci38460975
-117.7323333,35.9098333,4.49,2019-07-06T09:30:41.240000,4.15,,ci38460983
-117.7235,35.8953333,3.6,2019-07-06T09:33:59.740000,4.91,,ci38460999
-117.7133333,35.8871667,3.51,2019-07-06T09:34:27.830000,7.69,,ci38461007
-117.7105,35.883,3.75,2019-07-06T09:59:26.600000,7.28,,ci38461311
-117.5176667,35.5755,3.52,2019-07-06T10:09:18.110000,10.36,,ci38461447
-117.4546667,35.6486667,3.51,2019-07-06T10:31:43.930000,3.97,,ci38461655
-117.3528333,35.5745,3.82,2019-07-06T10:37:27.560000,2.85,,ci38461735
-117.372,35.5785,4.04,2019-07-06T10:48:24.460000,5.6,,ci38461879
-117.621,35.7948333,3.84,2019-07-06T11:06:43.350000,4.82,,ci38462063
-117.4656667,35.646,3.68,2019-07-06T11:15:20.710000,-0.13,,ci38462175
-117.7336667,35.8953333,4.12,2019-07-06T11:53:08.090000,2.1,,ci38462679
-117.6605,35.824,3.57,2019-07-06T12:05:00.770000,6.32,,ci38462839
-117.705,35.9283333,4.5,2019-07-06T13:06:55.260000,2.37,,ci38463551
-117.4873333,35.6761667,3.65,2019-07-06T13:32:59.500000,1.6,,ci38463791
-117.4755,35.6163333,3.64,2019-07-06T13:43:18.740000,8.8,,ci38463911
-117.705,35.868,3.54,2019-07-06T13:55:51.090000,7.89,,ci38464047
-117.827,36.0993333,3.58,2019-07-06T15:45:46.040000,2.51,,ci38465239
-117.6976667,35.877,3.55,2019-07-06T15:59:29.290000,2.33,,ci38465351
-117.523,35.5705,4.14,2019-07-06T16:36:05.820000,10.05,,ci38465703
-117.7121667,35.879,3.51,2019-07-06T16:42:05.120000,4.55,,ci38465759
-117.7168333,35.8716667,3.98,2019-07-06T17:41:33.190000,7.74,,ci38466343
-117.7295,35.9021667,3.96,2019-07-06T17:59:14.790000,4.27,,ci38466495
-117.3256667,35.448,3.55,2019-07-06T18:19:39.620000,4.54,,ci38466623
-117.7383333,35.907,3.72,2019-07-06T18:36:49.990000,2.87,,ci38466775
-117.4648333,35.6541667,3.87,2019-07-06T18:46:26.040000,1.9,,ci38466847
-117.5133333,35.692,3.51,2019-07-06T20:41:30.750000,2.71,,ci38467815
-117.6026667,35.7206667,3.51,2019-07-06T21:05:24.590000,10.82,,ci38468007
-117.5083333,35.7,3.71,2019-07-06T23:21:34.170000,9.22,,ci38469079
-117.663,35.8235,4.5,2019-07-06T23:50:41.990000,6.51,,ci38469375
-117.516,35.6695,3.55,2019-07-07T01:05:07.130000,5.05,,ci38469967
-117.5621667,35.7601667,3.6,2019-07-07T02:06:04.700000,10.75,,ci38470415
-117.4668333,35.6035,3.64,2019-07-07T02:17:01.710000,2.83,,ci38470471
-117.5956667,35.749,3.62,2019-07-07T03:13:12.460000,10.05,,ci38470999
-117.5781667,35.7683333,4.53,2019-07-07T05:38:15.480000,10.45,,ci38472279
-117.524,35.6661667,3.5,2019-07-07T06:07:06.460000,9.04,,ci38472463
-117.4385,35.6165,3.6,2019-07-07T07:09:38.840000,3.27,,ci38473039
-117.8508333,36.086,3.68,2019-07-07T08:03:25.610000,1.24,,ci38473511
-117.7033333,35.9311667,3.5,2019-07-07T09:10:01.710000,2.57,,ci38474127
-117.594,35.8056667,4.15,2019-07-07T11:22:16.240000,10.06,,ci38475431
-117.7108333,35.9136667,3.6,2019-07-07T14:46:40.570000,2.37,,ci38476855
-117.6583333,35.8225,3.56,2019-07-07T15:48:11.730000,6.67,,ci38477303
-117.4283333,35.5976667,3.59,2019-07-07T18:50:02.290000,6.07,,ci38478703
-117.6898333,35.9458333,3.79,2019-07-07T21:15:29.660000,2.42,,ci38479967
-117.529,35.683,3.52,2019-07-07T22:33:21.390000,1.46,,ci38480447
-117.6685,35.8303333,3.93,2019-07-07T23:36:56.940000,4.97,,ci38480919
-117.8813333,36.1135,3.76,2019-07-08T01:36:58.300000,4.97,,ci38481735
-117.6978333,35.9045,3.5,2019-07-08T01:37:07.910000,9.08,,ci37264764
-117.377,35.5498333,3.56,2019-07-08T07:18:34.580000,2.6,,ci38484231
-117.8738333,36.1566667,3.55,2019-07-08T07:31:58.400000,2.63,,ci38484311
-117.8575,36.1208333,3.9,2019-07-08T08:20:02.410000,3.71,,ci38484631
